Terminal voltage [V],Current [A],X-averaged positive particle surface concentration [mol.m-3],X-averaged negative particle surface concentration [mol.m-3],Time [s],X-averaged negative electrode reaction overpotential [V],X-averaged positive electrode reaction overpotential [V],X-averaged electrolyte ohmic losses [V],X-averaged electrolyte overpotential [V],X-averaged negative electrode ohmic losses [V],X-averaged positive electrode ohmic losses [V],X-averaged negative electrolyte concentration [mol.m-3],X-averaged positive electrolyte concentration [mol.m-3],X-averaged battery open circuit voltage [V]
3.823420512151469,-25.0,22427.748629049434,7028.8483302153145,439.99999999999983,-0.10316938095279182,0.039224537214087835,0.028998483233218124,0.042356171052924135,5.290339510973841e-05,9.171194978254497e-05,789.2885709874879,1197.9830288328285,3.6385264021053874
3.824446968596465,-25.0,22333.60403944311,7097.475792435256,440.99999999999983,-0.1031139165177215,0.03913363157166671,0.028998483233218124,0.04257281638654553,5.290339510973841e-05,9.171194978254497e-05,786.034840372908,1201.057875246649,3.6394825832942534
3.8254047563533344,-25.0,22241.88965346367,7164.388824925531,441.99999999999983,-0.10305012511146835,0.039051196693621525,0.028998483233218124,0.0427588228719743,5.290339510973841e-05,9.17119497824994e-05,783.2469300621714,1203.6925476549516,3.640400590849992
3.826305084876341,-25.0,22152.384841327177,7229.743390808895,442.99999999999983,-0.10297944448773871,0.03897611495272143,0.028998483233218124,0.04291848657060582,5.290339510973841e-05,9.171194978254497e-05,780.8580712177016,1205.9501154683005,3.6412870180389976
3.8271572958824778,-25.0,22064.901012934984,7293.672843124281,443.99999999999983,-0.10290313402000147,0.03890743976551042,0.028998483233218124,0.04305550912759451,5.290339510973841e-05,9.171194978254497e-05,778.811102048236,1207.8845889383547,3.6421471921430935
3.8279692515403676,-25.0,21979.27171563774,7356.294893500133,444.99999999999983,-0.10282230493830684,0.038844357101542444,0.028998483233218124,0.04317312081432556,5.290339510973841e-05,9.17119497824994e-05,777.0564394652243,1209.5428199308017,3.642985447859915
3.8287473436423003,-25.0,21895.35753356208,7417.708167772184,445.9999999999998,-0.10273788206600287,0.03878619216315399,0.028998483233218124,0.04327401188914004,5.290339510973841e-05,9.17119497824994e-05,775.5529607309902,1210.9636780059463,3.643805236697726
3.829497113353471,-25.0,21813.027805688376,7478.005085030914,446.99999999999983,-0.10265070347307167,0.03873234409746824,0.028998483233218124,0.04336060702482894,5.290339510973841e-05,9.171194978254497e-05,774.2637987243279,1212.1819972341962,3.6446094379318246
3.8302229064623936,-25.0,21732.177006522874,7537.260325445759,447.99999999999983,-0.10256141984062384,0.03868233240682739,0.028998483233218124,0.04343482715057195,5.290339510973841e-05,9.17119497824994e-05,773.15981189677,1213.225323545055,3.645400306238093
3.8309286278016113,-25.0,21652.701817877394,7595.546985691185,448.99999999999983,-0.10247064380661833,0.03863571347900764,0.028998483233218124,0.04349846875910157,5.290339510973841e-05,9.17119497824994e-05,772.2138726980698,1214.1192882967505,3.646179780930606
3.831617387660529,-25.0,21574.51531544631,7652.926587963424,449.99999999999983,-0.102378852388368,0.03859212632418078,0.028998483233218124,0.04355297362457286,5.290339510973841e-05,9.17119497824994e-05,771.4042517191546,1214.8844250691789,3.6469494144971297
3.654341272968563,0.0,22070.97805401277,7291.716070046959,450.99999999999983,0.0,0.0,0.0,0.012251707315909882,0.0,0.0,806.2448323454745,1182.424706745978,3.642089565652653
3.6503730747635093,0.0,22286.9886377824,7140.455649272739,451.99999999999983,0.0,0.0,0.0,0.010410773158197217,0.0,0.0,834.5026268144228,1155.9903914010683,3.639962301605312
3.6473601317464297,0.0,22434.166729893062,7037.237191197608,452.99999999999983,0.0,0.0,0.0,0.008876089310891816,0.0,0.0,858.3640952064628,1133.6089012924506,3.638484042435538
3.6448961137389677,0.0,22547.88895748822,6957.435192865749,453.99999999999983,0.0,0.0,0.0,0.007580358404041976,0.0,0.0,878.7048426921145,1114.4877808841495,3.637315755334926
3.64281610406316,0.0,22641.102521579152,6892.027949066323,454.9999999999998,0.0,0.0,0.0,0.006480230111711602,0.0,0.0,896.0963131724806,1098.1119889204413,3.6363358739514484
3.641028638881596,0.0,22720.230859462594,6836.526727627448,455.9999999999998,0.0,0.0,0.0,0.005543378585469549,0.0,0.0,910.9826267107416,1084.0785838906636,3.635485260296126
3.6394738468784817,0.0,22789.04004993337,6788.293312335121,456.99999999999983,0.0,0.0,0.0,0.004744073373119412,0.0,0.0,923.7314029601336,1072.0505943542644,3.634729773505362
3.638110441379098,0.0,22849.828931201395,6745.7135165617765,457.99999999999983,0.0,0.0,0.0,0.004061340189207438,0.0,0.0,934.651421021623,1061.7423018856246,3.6340491011898903
3.636906721900041,0.0,22904.216165657876,6707.64958190739,458.99999999999983,0.0,0.0,0.0,0.003477694369389661,0.0,0.0,944.0061149976377,1052.9083086543653,3.633429027530651
3.6358374802354643,0.0,22953.396511680665,6673.261062142654,459.99999999999983,0.0,0.0,0.0,0.0029784413482522865,0.0,0.0,952.0207302154279,1045.3378648276016,3.632859038887212
3.6348826239904963,0.0,22998.248053417614,6641.929521272576,460.99999999999983,0.0,0.0,0.0,0.002551182250323969,0.0,0.0,958.8877621853658,1038.8503224457845,3.6323314417401726
3.6340257808558474,0.0,23039.437202233214,6613.185151077629,461.99999999999983,0.0,0.0,0.0,0.0021853823484321994,0.0,0.0,964.7723262716958,1033.2903777077354,3.631840398507415
3.6332535755208317,0.0,23077.473929807216,6586.668139010082,462.9999999999998,0.0,0.0,0.0,0.0018721197690383523,0.0,0.0,969.8152100926485,1028.5253542757202,3.6313814557517934
3.632554948973355,0.0,23112.75890242556,6562.095635352358,463.9999999999998,0.0,0.0,0.0,0.0016038387035983842,0.0,0.0,974.1362476295857,1024.4421729214157,3.6309511102697565
